id,first_name,last_name,party,state,type,website
M001223,Seth,Magaziner,Democrat,RI,rep,https://magaziner.house.gov/media/press-releases
F000478,Russell,Fry,Republican,SC,rep,https://fry.house.gov/news/documentquery.aspx?DocumentTypeID=27
O000175,Andrew,Ogles,Republican,TN,rep,https://ogles.house.gov/media/press-releases
M001224,Nathaniel,Moran,Republican,TX,rep,https://moran.house.gov/news/documentquery.aspx?DocumentTypeID=27
S001224,Keith,Self,Republican,TX,rep,https://keithself.house.gov/media/press-releases
L000603,Morgan,Luttrell,Republican,TX,rep,https://luttrell.house.gov/media/press-releases
D000594,Monica,De La Cruz,Republican,TX,rep,https://delacruz.house.gov/news/documentquery.aspx?DocumentTypeID=27
C001130,Jasmine,Crockett,Democrat,TX,rep,https://crockett.house.gov/media/press-releases
C001131,Gregorio,Casar,Democrat,TX,rep,https://casar.house.gov/media
H001095,Wesley,Hunt,Republican,TX,rep,https://hunt.house.gov/media/press-releases
K000399,Jennifer,Kiggans,Republican,VA,rep,https://kiggans.house.gov/press
B001318,Becca,Balint,Democrat,VT,rep,https://balint.house.gov/news/documentquery.aspx?DocumentTypeID=27
G000600,Marie,Gluesenkamp Perez,Democrat,WA,rep,https://gluesenkampperez.house.gov/press
V000135,Derrick,Van Orden,Republican,WI,rep,https://vanorden.house.gov/media/press-releases
H001096,Harriet,Hageman,Republican,WY,rep,https://hageman.house.gov/media/press-releases
R000618,Pete,Ricketts,Republican,NE,sen,https://www.ricketts.senate.gov/newsroom/press-releases/
M001227,Jennifer,McClellan,Democrat,VA,rep,https://mcclellan.house.gov/media/press-releases
A000380,Gabe,Amo,Democrat,RI,rep,https://amo.house.gov/press-releases
M001228,Celeste,Maloy,Republican,UT,rep,https://maloy.house.gov/news/documentquery.aspx?DocumentTypeID=27
S001201,Thomas,Suozzi,Democrat,NY,rep,https://suozzi.house.gov/media/press-releases
K000402,Timothy,Kennedy,Democrat,NY,rep,https://kennedy.house.gov/news/documentquery.aspx?DocumentTypeID=27
F000480,Vince,Fong,Republican,CA,rep,https://fong.house.gov/media/press-releases
R000619,Michael,Rulli,Republican,OH,rep,https://fong.house.gov/media/press-releases
M001229,LaMonica,McIver,Democrat,NJ,rep,https://mciver.house.gov/media/press-releases
W000829,Tony,Wied,Republican,WI,rep,https://wied.house.gov/media/press-releases
F000110,Cleo,Fields,Democrat,LA,rep,https://fields.house.gov/media/press-releases
S001188,Marlin,Stutzman,Republican,IN,rep,https://stutzman.house.gov/media/press-releases
C001123,Gilbert,Cisneros,Democrat,CA,rep,https://cisneros.house.gov/media/press-releases
A000382,Angela,Alsobrooks,Democrat,MD,sen,https://www.alsobrooks.senate.gov/media/press-releases/
S001232,Tim,Sheehy,Republican,MT,sen,https://www.sheehy.senate.gov/media/press-releases/
M001242,Bernie,Moreno,Republican,OH,sen,https://www.moreno.senate.gov/media/press-releases/
M001243,Dave,McCormick,Republican,PA,sen,https://www.mccormick.senate.gov/media/press-releases/
B001323,Nicholas,Begich,Republican,AK,rep,https://begich.house.gov/media/press-releases
F000481,Shomari,Figures,Democrat,AL,rep,https://figures.house.gov/media/press-releases
A000381,Yassamin,Ansari,Democrat,AZ,rep,https://ansari.house.gov/media/press-releases
H001098,Abraham,Hamadeh,Republican,AZ,rep,https://hamadeh.house.gov/media/press-releases
S001231,Lateefah,Simon,Democrat,CA,rep,https://simon.house.gov/media/press-releases
G000605,Adam,Gray,Democrat,CA,rep,https://gray.house.gov/media/press-releases
L000607,Sam,Liccardo,Democrat,CA,rep,https://liccardo.house.gov/media/press-releases
W000830,George,Whitesides,Democrat,CA,rep,https://whitesides.house.gov/media/press-releases
R000620,Luz,Rivas,Democrat,CA,rep,https://rivas.house.gov/media/press-releases
F000483,Laura,Friedman,Democrat,CA,rep,https://friedman.house.gov/media/press-releases
T000491,Derek,Tran,Democrat,CA,rep,https://tran.house.gov/media/press-releases
M001241,Dave,Min,Democrat,CA,rep,https://min.house.gov/media/press-releases
H001100,Jeff,Hurd,Republican,CO,rep,https://hurd.house.gov/media/press-releases
C001137,Jeff,Crank,Republican,CO,rep,https://crank.house.gov/media/press-releases
E000300,Gabe,Evans,Republican,CO,rep,https://gabeevans.house.gov/media/press-releases
M001238,Sarah,McBride,Democrat,DE,rep,https://mcbride.house.gov/media/press-releases
H001099,Mike,Haridopolos,Republican,FL,rep,https://haridopolos.house.gov/media/press-releases
J000311,Brian,Jack,Republican,GA,rep,https://jack.house.gov/media/press-releases
S001229,Jefferson,Shreve,Republican,IN,rep,https://shreve.house.gov/media/press-releases
M001233,Mark,Messmer,Republican,IN,rep,https://messmer.house.gov/news/documentquery.aspx?DocumentTypeID=27
S001228,Derek,Schmidt,Republican,KS,rep,https://schmidt.house.gov/media/press-releases
O000176,Johnny,Olszewski,Democrat,MD,rep,https://olszewski.house.gov/media/press-releases
E000301,Sarah,Elfreth,Democrat,MD,rep,https://elfreth.house.gov/media/press-releases
M001232,April,McClain Delaney,Democrat,MD,rep,https://mcclaindelaney.house.gov/media/press-releases
B001321,Tom,Barrett,Republican,MI,rep,https://barrett.house.gov/media/press-releases
M001237,Kristen,McDonald Rivet,Democrat,MI,rep,https://mcdonaldrivet.house.gov/media/press-releases
M001234,Kelly,Morrison,Democrat,MN,rep,https://morrison.house.gov/media/press-releases
B001324,Wesley,Bell,Democrat,MO,rep,https://bell.house.gov/media/press-releases
O000177,Robert,Onder,Republican,MO,rep,https://onder.house.gov/media/press-releases
K000404,Kimberlyn,King-Hinds,Republican,MP,rep,https://king-hinds.house.gov/media/press-releases
D000634,Troy,Downing,Republican,MT,rep,https://downing.house.gov/media/press-releases
M001240,Addison,McDowell,Republican,NC,rep,https://mcdowell.house.gov/media/press-releases
H001102,Mark,Harris,Republican,NC,rep,https://markharris.house.gov/media/press-releases
H001101,Pat,Harrigan,Republican,NC,rep,https://harrigan.house.gov/media/press-releases
K000405,Brad,Knott,Republican,NC,rep,https://knott.house.gov/media/press-releases
M001236,Tim,Moore,Republican,NC,rep,https://timmoore.house.gov/media/press-releases
F000482,Julie,Fedorchak,Republican,ND,rep,https://fedorchak.house.gov/media/press-releases
G000604,Maggie,Goodlander,Democrat,NH,rep,https://goodlander.house.gov/media/press-releases
C001136,Herbert,Conaway,Democrat,NJ,rep,https://conaway.house.gov/media/press-releases
P000621,Nellie,Pou,Democrat,NJ,rep,https://pou.house.gov/media/press-releases
G000602,Laura,Gillen,Democrat,NY,rep,https://gillen.house.gov/media/press-releases
